time,10Y2Y_Yield,US CLI,ISM New Orders,Building Permits,Consumer Confidence,PMI,4-Week MA Initial Unemployment Claims,SP500
6/1/77,1.218979613,1.480334567,1.084663765,0.109767556,NaN,1.199867808,NaN,-0.734505949
7/1/77,1.001304682,1.433756281,1.191791051,0.082085085,NaN,1.358673842,NaN,-0.784549064
8/1/77,0.750978511,1.366247247,1.17840014,0.083194113,-0.832503968,0.864610627,-0.25838281,-0.881000095
9/1/77,0.642141046,1.298369714,0.937363748,0.030131003,NaN,0.688159478,NaN,-1.026710885
10/1/77,0.424466115,1.241841952,0.950754658,0.054030713,NaN,0.952836201,NaN,-1.151992654
11/1/77,0.478884848,1.197769461,1.231963783,0.03624494,-1.180641992,1.076352005,-0.343623496,-0.953799593
12/1/77,0.609489806,1.170132028,1.432827443,0.037183746,NaN,1.729221253,NaN,-1.230184079
1/1/78,0.511536087,1.167184036,1.419436532,0.043214344,-1.233619517,1.305738497,-0.386612937,-1.294763632
2/1/78,0.511536087,1.196811363,0.830236462,0.026085514,-1.18821021,1.041061775,-0.339402867,-1.312256837
3/1/78,0.489768594,1.28340865,0.883800105,0.019360566,-1.604462194,0.882255741,-0.378598575,-1.094934045
4/1/78,0.293861157,1.40567665,1.365872889,0.040113978,-1.392552093,1.358673842,-0.418869468,-0.607808589
5/1/78,0.326512396,1.529492347,1.861336584,0.013584428,-1.29416526,1.799801713,-0.471051208,-0.431139134
6/1/78,0.152372452,1.623385916,1.821163852,0.030485211,-1.513643579,1.852737057,-0.512525725,-0.815395113
7/1/78,0.097953719,1.669448303,1.96846387,0.013568488,-1.33200635,2.152704009,-0.530541224,-0.387860741
8/1/78,-0.076186226,1.660751724,1.513172907,-0.011560626,-1.634735065,1.817446827,-0.52558882,-0.07963037
9/1/78,-0.152372452,1.598917576,1.513172907,0.010635223,-1.483370707,1.852737057,-0.507916731,-0.111901095
10/1/78,-0.576838567,1.489178545,1.17840014,0.003024965,-1.566621104,1.782156598,-0.509845708,-0.449306525
11/1/78,-0.750978511,1.347306394,1.593518371,0.003133315,-1.892054474,1.993897976,-0.591629649,-0.513288116
12/1/78,-0.903350963,1.199980455,1.325700157,0.008436488,-2.565625866,1.658640794,-0.643137412,-0.437646583
1/1/79,-0.750978511,1.069015877,0.97753648,-0.03707373,-2.111532793,1.49983476,-0.549824566,0.250199815
2/1/79,-0.783629751,0.94136779,1.151618318,-0.032497611,-1.975304871,1.446899416,-0.52102478,0.165005167
3/1/79,-0.663908539,0.794262951,0.897191016,-0.010153301,-2.391556855,1.358673842,-0.570966243,0.370744395
4/1/79,-0.609489806,0.617530785,0.682936445,-0.041660981,-2.573194084,1.093997119,-0.558323622,-0.183474776
5/1/79,-0.544187327,0.425469056,0.281209124,-0.010735802,-2.414261509,0.776385052,-0.485770511,-0.385278391
6/1/79,-0.174139945,0.226111045,-0.080345464,-0.039992885,-2.58833052,0.4764181,-0.466602763,-0.01732637
7/1/79,-0.326512396,0.028816629,-0.026781821,-0.03262349,-2.997014286,0.229386493,-0.49121403,-0.308533438
8/1/79,-0.653024792,-0.158012412,-0.415118231,-0.013673123,-2.686717353,-0.088225574,-0.395615952,-0.136383394
9/1/79,-0.718327272,-0.341303862,-0.174081839,-0.014921196,-2.520216559,-0.070580459,-0.372952929,-0.087551763
10/1/79,-1.458422036,-0.535650285,-0.361554588,-0.038946521,-2.868354582,-0.176451148,-0.409837718,0.082481319
11/1/79,-1.033955921,-0.742820477,-0.468681874,-0.066851974,-2.777535968,-0.352902297,-0.369146351,0.25871524
12/1/79,-0.979537189,-0.95765545,-0.763281909,-0.071729294,-2.951604979,-0.917545971,-0.309682023,0.271800134
1/1/80,-0.674792285,-1.178681207,-0.38833641,-0.028644398,-2.497511905,-0.670514363,-0.278157267,0.454216673
2/1/80,-2.187633055,-1.41820562,0.214254571,-0.045405674,-2.505080123,0.03529023,-0.386767064,0.634050115
