Period,Receipts,Outlays,Deficit/Surplus (-),Borrowing from the Public,Reduction of Operating Cash,By Other Means,,,,,,
Oct-80,"38,923","55,843","16,921",,,,,,,,,
Nov-80,"39,175","48,083","8,907",,,,,,,,,
Dec-80,"48,904","50,869","1,965",,,,,,,,,
Jan-81,"51,147","63,339","12,192",,,,,,,,,
Feb-81,"38,129","53,749","15,620",,,,,,,,,
Mar-81,"44,357","53,938","9,582",,,,,,,,,
Apr-81,"74,188","56,999","-17,190",,,,,,,,,
May-81,"38,243","54,414","16,171",,,,,,,,,
Jun-81,"70,429","55,066","-15,363",,,,,,,,,
Jul-81,"47,829","58,172","10,343",,,,,,,,,
Aug-81,"47,669","52,788","5,119",,,,,,,,,
Sep-81,"60,279","53,944","-6,335",,,,,,,,,
Oct-81,"45,467","63,573","18,105",,,,,,,,,
Nov-81,"44,317","54,959","10,642",,,,,,,,,
Dec-81,"57,407","76,875","19,468",,,,,,,,,
Jan-82,"55,269","45,930","-9,339",,,,,,,,,
Feb-82,"43,042","57,822","14,780",,,,,,,,,
Mar-82,"45,291","63,546","18,255",,,,,,,,,
Apr-82,"75,777","66,073","-9,704",,,,,,,,,
May-82,"36,753","55,683","18,930",,,,,,,,,
Jun-82,"66,353","59,629","-6,724",,,,,,,,,
Jul-82,"44,675","64,506","19,831",,,,,,,,,
Aug-82,"44,924","59,628","14,704",,,,,,,,,
Sep-82,"59,694","61,403","1,708",,,,,,,,,
Oct-82,"40,539","66,708","26,169",,,,,,,,,
Nov-82,"42,007","66,166","24,158",,,,,,,,,
Dec-82,"54,498","72,436","17,938",,,,,,,,,
Jan-83,"57,505","67,087","9,582",,,,,,,,,
Feb-83,"38,816","64,152","25,336",,,,,,,,,
Mar-83,"43,504","69,540","26,036",,,,,,,,,
Apr-83,"66,234","69,542","3,308",,,,,,,,,
May-83,"33,755","63,040","29,285",,,,,,,,,
Jun-83,"66,517","63,116","-3,401",,,,,,,,,
Jul-83,"43,948","65,360","21,412",,,,,,,,,
Aug-83,"49,683","67,160","17,477",,,,,,,,,
Sep-83,"63,556","61,610","-1,946",,,,,,,,,
Oct-83,"45,157","70,226","25,069",,,,,,,,,
Nov-83,"46,202","67,794","21,591",,,,,,,,,
Dec-83,"58,044","74,705","16,661",,,,,,,,,
Jan-84,"62,537","68,052","5,515",,,,,,,,,
Feb-84,"47,886","68,267","20,381",,,,,,,,,
Mar-84,"44,464","73,020","28,555",,,,,,,,,
Apr-84,"80,180","68,687","-11,493",,,,,,,,,
May-84,"37,459","71,391","33,932",,,,,,,,,
Jun-84,"69,282","71,283","2,000",,,,,,,,,
Jul-84,"52,017","68,432","16,416",,,,,,,,,
Aug-84,"55,209","88,707","33,498",,,,,,,,,
Sep-84,"68,019","51,234","-16,785",,,,,,,,,
Oct-84,"52,251","80,260","28,009",,,,,,,,,
Nov-84,"51,494","80,390","28,896",,,,,,,,,
Dec-84,"62,404","76,971","14,568",,,,,,,,,
Jan-85,"70,454","78,446","7,992",,,,,,,,,
Feb-85,"54,049","75,101","21,053",,,,,,,,,
Mar-85,"49,613","79,115","29,502",,,,,,,,,
Apr-85,"94,599","83,214","-11,386",,,,,,,,,
May-85,"39,794","81,791","41,997",,,,,,,,,
Jun-85,"72,151","73,559","1,408",,,,,,,,,
Jul-85,"57,650","79,183","21,533",,,,,,,,,
Aug-85,"55,781","83,378","27,597",,,,,,,,,
Sep-85,"r73,811","r74,575",r764,,,,,,,,,
Oct-85,"57,886","84,973","27,087",,,,,,,,,
Nov-85,"51,166","84,551","33,386",,,,,,,,,
Dec-85,"68,196","82,853","14,656",,,,,,,,,
Jan-86,"76,698","83,189","6,492",,,,,,,,,
Feb-86,"53,370","77,950","24,580",,,,,,,,,
Mar-86,"49,557","79,700","30,142",,,,,,,,,
Apr-86,"91,438","81,510","-9,928",,,,,,,,,
May-86,"46,246","85,642","39,396",,,,,,,,,
Jun-86,"77,024","78,067","1,044",,,,,,,,,
Jul-86,"62,974","85,278","22,304",,,,,,,,,
Aug-86,"56,523","84,579","28,056",,,,,,,,,
Sep-86,"78,013","81,939","3,926",,,,,,,,,
Oct-86,"59,012","84,302","25,290",,,,,,,,,
Nov-86,"52,967","80,054","27,087",,,,,,,,,
Dec-86,"78,035","90,404","12,369",,,,,,,,,
Jan-87,"81,771","83,928","2,157",,,,,,,,,
Feb-87,"55,463","83,842","28,379",,,,,,,,,
Mar-87,"56,515","84,446","27,931",,,,,,,,,
Apr-87,"122,897","84,155","-38,742",,,,,,,,,
May-87,"47,691","83,328","35,637",,,,,,,,,
Jun-87,"82,945","83,568",623,,,,,,,,,
Jul-87,"64,223","86,562","22,339",,,,,,,,,
Aug-87,"60,213","82,009","21,796",,,,,,,,,
Sep-87,"92,410","77,206","-15,204",,,,,,,,,
Oct-87,"62,295","93,105","30,810",,,,,,,,,
Nov-87,"56,915","83,937","27,022",,,,,,,,,
Dec-87,"85,469","109,833","24,363",,,,,,,,,
Jan-88,"81,740","65,844","-15,896",,,,,,,,,
Feb-88,"60,279","84,344","24,065",,,,,,,,,
Mar-88,"65,664","94,947","29,283",,,,,,,,,
Apr-88,"109,266","95,497","-13,769",,,,,,,,,
May-88,"59,635","82,218","22,583",,,,,,,,,
Jun-88,"r99,140","r90,006","r-9,134",,,,,,,,,
Jul-88,"60,631","83,549","22,918",,,,,,,,,
Aug-88,"69,390","92,468","23,079",,,,,,,,,
Sep-88,"97,742","87,569","-10,173",,,,,,,,,
Oct-88,"63,582","90,587","27,005",,,,,,,,,
Nov-88,"64,330","93,470","29,140",,,,,,,,,
Dec-88,"93,655","106,446","12,790",,,,,,,,,
Jan-89,"89,306","86,509","-2,797",,,,,,,,,
Feb-89,"61,897","89,769","27,871",,,,,,,,,
Mar-89,"68,205","103,988","35,784",,,,,,,,,
Apr-89,"128,892","88,237","-40,654",,,,,,,,,
May-89,"71,025","96,458","25,433",,,,,,,,,
Jun-89,"108,249","100,464","-7,785",,,,,,,,,
Jul-89,"66,191","84,428","18,237",,,,,,,,,
Aug-89,"76,136","98,286","22,150",,,,,,,,,
Sep-89,"99,233","105,378","6,146",,,,,,,,,
Oct-89,"68,420","94,503","26,084",,,,,,,,,
Nov-89,"71,174","100,906","29,732",,,,,,,,,
Dec-89,"89,122","103,893","14,772",,,,,,,,,
Jan-90,"99,524","91,242","-8,282",,,,,,,,,
Feb-90,"65,141","100,348","35,207",,,,,,,,,
Mar-90,"64,805","118,128","53,324",,,,,,,,,
Apr-90,"139,604","97,775","-41,829",,,,,,,,,
May-90,"69,186","111,668","42,482",,,,,,,,,
Jun-90,"110,601","121,706","11,105",,,,,,,,,
Jul-90,"72,329","98,253","25,924",,,,,,,,,
Aug-90,"78,462","131,181","52,719",,,,,,,,,
Sep-90,"102,939","82,171","-20,768",,,,,,,,,
Oct-90,"76,986","108,350","31,364",,,,,,,,,
Nov-90,"70,507","118,230","47,723",,,,,,,,,
Dec-90,"101,900","109,287","7,387",,,,,,,,,
Jan-91,"100,713","99,062","-1,650",,,,,,,,,
Feb-91,"67,657","93,848","26,191",,,,,,,,,
Mar-91,"64,805","105,978","41,173",,,,,,,,,
Apr-91,"140,380","110,371","-30,009",,,,,,,,,
May-91,"63,560","116,926","53,367",,,,,,,,,
Jun-91,"103,389","105,968","2,579",,,,,,,,,
Jul-91,"78,593","119,424","40,831",,,,,,,,,
Aug-91,"76,426","120,075","43,649",,,,,,,,,
Sep-91,"109,350","116,237","6,887",,,,,,,,,
Oct-91,"78,065","114,659","36,594",,,,,,,,,
Nov-91,"73,095","117,779","44,684",,,,,,,,,
Dec-91,"103,636","106,170","2,534",,,,,,,,,
Jan-92,"104,031","119,699","15,668",,,,,,,,,
Feb-92,"62,747","111,927","49,180",,,,,,,,,
Mar-92,"72,127","122,839","50,712",,,,,,,,,
Apr-92,"138,351","123,748","-14,603",,,,,,,,,
May-92,"62,184","108,957","46,773",,,,,,,,,
Jun-92,"120,878","117,096","-3,782",,,,,,,,,
Jul-92,"79,050","122,197","43,147",,,,,,,,,
Aug-92,"78,101","102,843","24,742",,,,,,,,,
Sep-92,"118,189","112,879","-5,310",,,,,,,,,
Oct-92,"76,829","125,620","48,792",,,,,,,,,
Nov-92,"74,629","107,355","32,726",,,,,,,,,
Dec-92,"113,686","152,633","38,947",,,,,,,,,
Jan-93,"112,716","82,899","-29,817",,,,,,,,,
Feb-93,"65,979","114,477","48,498",,,,,,,,,
Mar-93,"83,288","127,263","43,974",,,,,,,,,
Apr-93,"132,017","124,200","-7,817",,,,,,,,,
May-93,"70,642","107,605","36,963",,,,,,,,,
Jun-93,"128,570","117,471","-11,099",,,,,,,,,
Jul-93,"80,630","120,207","39,577",,,,,,,,,
Aug-93,"86,737","109,815","23,078",,,,,,,,,
