month,month_name,year,country,debt
12,Dec,2024,Japan,1061.5
11,Nov,2024,Japan,1087.1
10,Oct,2024,Japan,1101.6
9,Sep,2024,Japan,1095.5
8,Aug,2024,Japan,1106
7,Jul,2024,Japan,1093.5
6,Jun,2024,Japan,1091.4
5,May,2024,Japan,1106
4,Apr,2024,Japan,1126.1
3,Mar,2024,Japan,1167
2,Feb,2024,Japan,1147.6
1,Jan,2024,Japan,1140.6
12,Dec,2023,Japan,1115.3
11,Nov,2023,Japan,1127.5
10,Oct,2023,Japan,1098.2
9,Sep,2023,Japan,1086.4
8,Aug,2023,Japan,1115.5
7,Jul,2023,Japan,1111.8
6,Jun,2023,Japan,1104.1
5,May,2023,Japan,1096.1
4,Apr,2023,Japan,1125.8
3,Mar,2023,Japan,1086.6
2,Feb,2023,Japan,1080.7
1,Jan,2023,Japan,1102.9
12,Dec,2022,Japan,1075.1
11,Nov,2022,Japan,1081.8
10,Oct,2022,Japan,1064.4
9,Sep,2022,Japan,1116.4
8,Aug,2022,Japan,1196
7,Jul,2022,Japan,1230.7
6,Jun,2022,Japan,1232.7
5,May,2022,Japan,1219.9
4,Apr,2022,Japan,1215
3,Mar,2022,Japan,1229
2,Feb,2022,Japan,1303
1,Jan,2022,Japan,1299.9
12,Dec,2021,Japan,1300.8
11,Nov,2021,Japan,1325.5
10,Oct,2021,Japan,1320.4
9,Sep,2021,Japan,1299.6
8,Aug,2021,Japan,1319.7
7,Jul,2021,Japan,1310.2
6,Jun,2021,Japan,1279.7
5,May,2021,Japan,1266.2
4,Apr,2021,Japan,1276.8
3,Mar,2021,Japan,1240.5
2,Feb,2021,Japan,1258
1,Jan,2021,Japan,1276.9
12,Dec,2020,Japan,1251.3
11,Nov,2020,Japan,1260.8
10,Oct,2020,Japan,1273.1
9,Sep,2020,Japan,1276.2
8,Aug,2020,Japan,1278.4
7,Jul,2020,Japan,1293
6,Jun,2020,Japan,1261.6
5,May,2020,Japan,1260.4
4,Apr,2020,Japan,1266.5
3,Mar,2020,Japan,1272.6
2,Feb,2020,Japan,1268.6
1,Jan,2020,Japan,1211.8
12,Dec,2019,Japan,1155.2
11,Nov,2019,Japan,1160.6
10,Oct,2019,Japan,1168.5
9,Sep,2019,Japan,1146.2
8,Aug,2019,Japan,1174.6
7,Jul,2019,Japan,1131.2
6,Jun,2019,Japan,1122.8
5,May,2019,Japan,1101
4,Apr,2019,Japan,1064
3,Mar,2019,Japan,1078.1
2,Feb,2019,Japan,1068.8
1,Jan,2019,Japan,1064.9
12,Dec,2018,Japan,1124.3
11,Nov,2018,Japan,1121.4
10,Oct,2018,Japan,1138.9
9,Sep,2018,Japan,1151.4
8,Aug,2018,Japan,1165.1
7,Jul,2018,Japan,1171
6,Jun,2018,Japan,1191.2
5,May,2018,Japan,1183.1
4,Apr,2018,Japan,1181.9
3,Mar,2018,Japan,1187.7
2,Feb,2018,Japan,1176.7
1,Jan,2018,Japan,1168.2
12,Dec,2017,Japan,1184.9
11,Nov,2017,Japan,1176.6
10,Oct,2017,Japan,1189.2
9,Sep,2017,Japan,1182.3
8,Aug,2017,Japan,1201.7
7,Jul,2017,Japan,1166.9
6,Jun,2017,Japan,1146.5
5,May,2017,Japan,1102.2
4,Apr,2017,Japan,1092.2
3,Mar,2017,Japan,1088.1
2,Feb,2017,Japan,1059.7
1,Jan,2017,Japan,1051.1
12,Dec,2015,Japan,1246.1
11,Nov,2015,Japan,1264.5
10,Oct,2015,Japan,1254.8
9,Sep,2015,Japan,1258
8,Aug,2015,Japan,1270.5
7,Jul,2015,Japan,1268.8
6,Jun,2015,Japan,1271.2
5,May,2015,Japan,1270.3
